Date : 2026-05-29 18:16:40
Directory : c:\Users\oggy_\Develop\Repos\Harite
Total : 316 files,  35607 codes, 590 comments, 10681 blanks, all 46878 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Users\oggy_\Develop\Repos\Harite\.github\workflows\pr-checks.yml                                                               | YAML         |         44 |          4 |          5 |         53 |
| c:\Users\oggy_\Develop\Repos\Harite\CHANGELOG.md                                                                                  | Markdown     |         56 |          0 |         34 |         90 |
| c:\Users\oggy_\Develop\Repos\Harite\README.md                                                                                     | Markdown     |         35 |          0 |         22 |         57 |
| c:\Users\oggy_\Develop\Repos\Harite\README_en.md                                                                                  | Markdown     |         32 |          0 |         20 |         52 |
| c:\Users\oggy_\Develop\Repos\Harite\THIRD_PARTY_NOTICES.md                                                                        | Markdown     |         53 |          0 |         18 |         71 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\consolidation\docs-consolidation-actions.md                       | Markdown     |         20 |          0 |         12 |         32 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\consolidation\docs-consolidation-enumerator-fix.md                | Markdown     |        491 |          0 |        144 |        635 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\consolidation\docs-consolidation-plan.md                          | Markdown     |         30 |          0 |         14 |         44 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\consolidation\docs-consolidation-progress.md                      | Markdown     |         16 |          0 |          9 |         25 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\consolidation\docs-consolidation-replacement-preview.md           | Markdown     |         24 |          0 |         13 |         37 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\consolidation\docs-consolidation-scan.md                          | Markdown     |         15 |          0 |          8 |         23 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\consolidation\followup-replacements.md                            | Markdown     |          1 |          0 |          1 |          2 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\cli\cli-compatibility.md                               | Markdown     |         60 |          0 |         27 |         87 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\cli\cli-top5-priority-options.md                       | Markdown     |         80 |          0 |         40 |        120 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\core\core-io-examples.md                               | Markdown     |         37 |          0 |         14 |         51 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\core\core-io.md                                        | Markdown     |         85 |          0 |         33 |        118 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\core\harite-foundation-spec.md                         | Markdown     |         54 |          0 |         21 |         75 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\core\margin-info-embedding.md                          | Markdown     |         87 |          0 |         35 |        122 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\core\monitor-split-design.md                           | Markdown     |         81 |          0 |         31 |        112 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\core\optimize-input-and-two-screen.md                  | Markdown     |         58 |          0 |         28 |         86 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-before-phase5-glade-layout-reconstruction.md   | Markdown     |        181 |          0 |         62 |        243 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-before-phase5-signal-mapping.md                | Markdown     |        110 |          0 |         42 |        152 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-before-phase5-standalone-design.md             | Markdown     |        152 |          0 |         69 |        221 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase1-tasklist.md                             | Markdown     |         29 |          0 |         21 |         50 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase10-1st-planning.md                        | Markdown     |        123 |          0 |         46 |        169 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase10-2nd-planning.md                        | Markdown     |        376 |          0 |        117 |        493 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase10-3rd-planning.md                        | Markdown     |        115 |          0 |         44 |        159 |
