"filename", "language", "pip requirements", "Python", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\oggy_\Develop\Repos\Harite\tests\regression\test_regression_parity.py", "Python", 0, 1, 0, 0, -2, 0, -1
"c:\Users\oggy_\Develop\Repos\Harite\tests\scripts\test_verify_linux_qt_env.py", "Python", 0, 18, 0, 0, 0, 5, 23
"c:\Users\oggy_\Develop\Repos\Harite\tests\test_cli_plugin_resolve.py", "Python", 0, 7, 0, 0, 0, 7, 14
"c:\Users\oggy_\Develop\Repos\Harite\tests\test_display_scale.py", "Python", 0, -3, 0, 0, 0, 0, -3
"c:\Users\oggy_\Develop\Repos\Harite\tests\test_last_optimize_run.py", "Python", 0, 30, 0, 0, 0, 13, 43
"c:\Users\oggy_\Develop\Repos\Harite\tests\test_optimize_settings.py", "Python", 0, 36, 0, 0, 0, 11, 47
"c:\Users\oggy_\Develop\Repos\Harite\tests\test_preferences.py", "Python", 0, -4, 0, 0, 0, 1, -3
"c:\Users\oggy_\Develop\Repos\Harite\tests\test_slideshow_display_scale.py", "Python", 0, -1, 0, 0, 0, 0, -1
"c:\Users\oggy_\Develop\Repos\Harite\tests\test_slideshow_optimize.py", "Python", 0, -3, 0, 0, 0, 0, -3
"Total", "-", 0, 914, 752, 57, -1, 603, 2325
