Date : 2026-06-10 21:30:02
Directory : c:\Users\oggy_\Develop\Repos\Harite
Total : 266 files,  23629 codes, -744 comments, 6695 blanks, all 29580 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\issue-xxx.md                                                  | Markdown         |         28 |          0 |         17 |         45 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\maturation-20260609-qt-common.md                              | Markdown         |        732 |          0 |        359 |      1,091 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\specs\cli\harite-cli-spec.md                                                | Markdown         |         15 |          0 |          2 |         17 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\specs\core\harite-core-spec.md                                              | Markdown         |         20 |          0 |          8 |         28 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\specs\gui\audit\p08-3layer-audit.md                                         | Markdown         |        126 |          0 |         51 |        177 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\specs\gui\harite-gui-spec.md                                                | Markdown         |        206 |          0 |         67 |        273 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\specs\harite-foundation-spec.md                                             | Markdown         |         11 |          0 |          3 |         14 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\specs\slideshow\harite-slideshow-spec.md                                    | Markdown         |         80 |          0 |         37 |        117 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\specs\source\harite-source-spec.md                                          | Markdown         |        579 |          0 |        261 |        840 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260518-2047-feature-overview.md                                   | Markdown         |       -134 |          0 |        -58 |       -192 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260530-1509-specs-checking-from-cursor.md                         | Markdown         |       -221 |          0 |        -67 |       -288 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260530-2201-pyqt6-migration-plan.md                               | Markdown         |       -281 |          0 |       -107 |       -388 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260530-2333-qt-backend-setup.md                                   | Markdown         |       -103 |          0 |        -47 |       -150 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260531-0843-qt-phase8-3layer-audit.md                             | Markdown         |       -129 |          0 |        -49 |       -178 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260531-1200-windows-qt-validation-backlog.md                      | Markdown         |        -77 |          0 |        -30 |       -107 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260531-1530-windows-post-w03-status-and-w02-slideshow.md          | Markdown         |       -127 |          0 |        -59 |       -186 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260531-mat-10-kiriezu-source-planning.md                          | Markdown         |        225 |          0 |         71 |        296 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260531-w-03-b-lite-3layer-audit.md                                | Markdown         |        -42 |          0 |        -15 |        -57 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260608-1200-feature-pending.md                                    | Markdown         |         46 |          0 |         22 |         68 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260609-1200-feature-overview.md                                   | Markdown         |         60 |          0 |         28 |         88 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260609-mat-02b-slideshow-remote-stability.md                      | Markdown         |         42 |          0 |         20 |         62 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260609-mat-08-viper3-slideshow-op-observation.md                  | Markdown         |         83 |          0 |         35 |        118 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260609-mat-15-core-geometry-audit.md                              | Markdown         |         78 |          0 |         35 |        113 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260610-mat-08-viper3-slideshow-op2-observation.md                 | Markdown         |         73 |          0 |         27 |        100 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260610-mat-08-viper3-slideshow-op3-observation.md                 | Markdown         |         65 |          0 |         25 |         90 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260610-q01-gtk-deprecation-planning.md                            | Markdown         |        254 |          0 |         68 |        322 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260610-v2-roadmap-op3-planning.md                                 | Markdown         |         86 |          0 |         39 |        125 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\README.md                                                           | Markdown         |         21 |          0 |         12 |         33 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\20260601-c02-slideshow-source-registry-slice-memo.md         | Markdown         |         71 |          0 |         34 |        105 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\20260601-c02-slideshow-source-registry-slice.html            | HTML             |        486 |          5 |         63 |        554 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\20260601-p01-p02-lr-swap-clear-slice-memo.md                 | Markdown         |         57 |          0 |         26 |         83 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\20260601-p01-p02-lr-swap-clear-slice.html                    | HTML             |        351 |          2 |         42 |        395 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\20260604-c04-slideshow-margins-surface-slice-memo.md         | Markdown         |         65 |          0 |         38 |        103 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\20260604-c04-slideshow-margins-surface-slice.html            | HTML             |        375 |          4 |         25 |        404 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\20260604-glade2-legacy-interpretation-memo.md                | Markdown         |        114 |          0 |         48 |        162 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\20260605-c01-e-kw-manage-keyword-slice-memo.md               | Markdown         |         41 |          0 |         19 |         60 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\20260605-c01-e-kw-manage-keyword-slice.html                  | HTML             |        131 |          0 |          1 |        132 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\20260608-p08-main-margins-drawer-slice-memo.md               | Markdown         |         44 |          0 |         14 |         58 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\20260609-mat-01b-native-placement-repair-draft.md            | Markdown         |        112 |          0 |         49 |        161 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\README.md                                                    | Markdown         |         27 |          0 |          7 |         34 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\gui-phase10-icon-mock-memo.md                                | Markdown         |        113 |          0 |         32 |        145 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\gui-phase10-icon-mock.html                                   | HTML             |        668 |          0 |         90 |        758 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260518-2047-feature-overview.md                          | Markdown         |         57 |          0 |         21 |         78 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260530-1509-specs-checking-from-cursor.md                | Markdown         |        221 |          0 |         67 |        288 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260530-2201-pyqt6-migration-plan.md                      | Markdown         |        281 |          0 |        107 |        388 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260530-2333-qt-backend-setup.md                          | Markdown         |        109 |          0 |         49 |        158 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260531-0843-qt-phase8-3layer-audit.md                    | Markdown         |        129 |          0 |         49 |        178 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260531-1200-windows-qt-validation-backlog.md             | Markdown         |         77 |          0 |         30 |        107 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260531-1530-windows-post-w03-status-and-w02-slideshow.md | Markdown         |        127 |          0 |         59 |        186 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260531-w-03-b-lite-3layer-audit.md                       | Markdown         |         42 |          0 |         15 |         57 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260601-1400-c02-source-registry-planning.md              | Markdown         |        152 |          0 |         63 |        215 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260601-c02-3layer-audit.md                               | Markdown         |         50 |          0 |         17 |         67 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260602-1400-c05-slideshow-source-enhancement-planning.md | Markdown         |        164 |          0 |         73 |        237 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260602-c02-real-device-observations.md                   | Markdown         |         27 |          0 |         11 |         38 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260602-c05-3layer-audit.md                               | Markdown         |         56 |          0 |         17 |         73 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260603-1400-c01-external-wallpaper-source-planning.md    | Markdown         |        151 |          0 |         52 |        203 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260603-c01-3layer-audit.md                               | Markdown         |         70 |          0 |         19 |         89 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260603-c01-e-3layer-audit.md                             | Markdown         |         25 |          0 |         13 |         38 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260603-c01-e-codh-icp-inventory.md                       | Markdown         |        196 |          0 |         73 |        269 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260603-c01-e-merged-inventory.md                         | Markdown         |         59 |          0 |         23 |         82 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260603-c01-e-ndl-tsugidigi-inventory.md                  | Markdown         |        223 |          0 |         87 |        310 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260603-jma-weather-map-list-inventory.md                 | Markdown         |        140 |          0 |         52 |        192 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260604-c01-f-remote-sync-on-tick-planning-draft.md       | Markdown         |        170 |          0 |         98 |        268 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260604-c04-gui-surface-planning-draft.md                 | Markdown         |        192 |          0 |         90 |        282 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260605-c01-e-kw-codh-keyword-planning.md                 | Markdown         |         75 |          0 |         33 |        108 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260606-p03-3layer-audit.md                               | Markdown         |         88 |          0 |         27 |        115 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260606-p03-single-display-ux-planning.md                 | Markdown         |        318 |          0 |        131 |        449 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260606-p05-manage-sources-panel-planning.md              | Markdown         |         56 |          0 |         37 |         93 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260606-p06-slideshow-codh-keyword-chip-planning.md       | Markdown         |         66 |          0 |         28 |         94 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260606-p07-slideshow-drawer-open-state-planning.md       | Markdown         |         68 |          0 |         28 |         96 |
