"filename", "language", "Ini", "pip requirements", "Markdown", "YAML", "Python", "JSON", "HTML", "XML", "comment", "blank", "total"
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260605-c01-e-kw-codh-keyword-planning.md", "Markdown", 0, 0, 75, 0, 0, 0, 0, 0, 0, 33, 108
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260606-p03-3layer-audit.md", "Markdown", 0, 0, 88, 0, 0, 0, 0, 0, 0, 27, 115
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260606-p03-single-display-ux-planning.md", "Markdown", 0, 0, 318, 0, 0, 0, 0, 0, 0, 131, 449
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260606-p05-manage-sources-panel-planning.md", "Markdown", 0, 0, 56, 0, 0, 0, 0, 0, 0, 37, 93
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260606-p06-slideshow-codh-keyword-chip-planning.md", "Markdown", 0, 0, 66, 0, 0, 0, 0, 0, 0, 28, 94
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260606-p07-slideshow-drawer-open-state-planning.md", "Markdown", 0, 0, 68, 0, 0, 0, 0, 0, 0, 28, 96
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260607-p04-main-action-cluster-planning-draft.md", "Markdown", 0, 0, 118, 0, 0, 0, 0, 0, 0, 49, 167
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260608-p08-3layer-audit.md", "Markdown", 0, 0, 126, 0, 0, 0, 0, 0, 0, 51, 177
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260608-p08-main-margins-drawer-planning-draft.md", "Markdown", 0, 0, 111, 0, 0, 0, 0, 0, 0, 69, 180
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\README.md", "Markdown", 0, 0, 46, 0, 0, 0, 0, 0, 0, 11, 57
"c:\Users\oggy_\Develop\Repos\Harite\pytest.ini", "Ini", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\oggy_\Develop\Repos\Harite\requirements.txt", "pip requirements", 0, 1, 0, 0, 0, 0, 0, 0, 8, 2, 11
"c:\Users\oggy_\Develop\Repos\Harite\scripts\apply_docs_replacements.py", "Python", 0, 0, 0, 0, 7, 0, 0, 0, -9, 2, 0
"c:\Users\oggy_\Develop\Repos\Harite\scripts\check_xfce_last_image_paths.py", "Python", 0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0
"c:\Users\oggy_\Develop\Repos\Harite\scripts\fix_enumerators.py", "Python", 0, 0, 0, 0, 3, 0, 0, 0, -4, 1, 0
"c:\Users\oggy_\Develop\Repos\Harite\scripts\gui_layout_smoke.py", "Python", 0, 0, 0, 0, 7, 0, 0, 0, -8, 1, 0
"c:\Users\oggy_\Develop\Repos\Harite\scripts\xfce_smoke_runner.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, -5, 1, 0
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\__init__.py", "Python", 0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\apply_surface.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, -1, 2, 5
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\auto_display_scale.py", "Python", 0, 0, 0, 0, 53, 0, 0, 0, 0, 9, 62
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\cli.py", "Python", 0, 0, 0, 0, 120, 0, 0, 0, -38, 20, 102
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\core.py", "Python", 0, 0, 0, 0, 293, 0, 0, 0, -139, 43, 197
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\display_scale.py", "Python", 0, 0, 0, 0, 61, 0, 0, 0, 1, 20, 82
